segments.date,campaign.id,campaign.name,campaign.status,campaign.advertising_channel_type,campaign.bidding_strategy_type,campaign_budget.amount_micros,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions,metrics.conversions_by_conversion_date,metrics.all_conversions,metrics.cost_per_conversion,metrics.conversions_from_interactions_rate,metrics.absolute_top_impression_percentage,metrics.top_impression_percentage,metrics.search_impression_share,metrics.search_rank_lost_impression_share,metrics.search_budget_lost_impression_share
2025-10-23,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,21,3,0.14285714285714285,3103333.3333333335,9310000,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.7619047619047619,0.0999,0.0821917808219178,0.821917808219178
2025-10-24,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,38,2,0.05263157894736842,4980000.0,9960000,0.0,0.0,0.0,0.0,0.0,0.10810810810810811,0.7567567567567568,0.12211221122112212,0.27722772277227725,0.6006600660066007
2025-10-25,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,43,3,0.06976744186046512,1915674.3333333333,5747023,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7619047619047619,0.18834080717488788,0.15695067264573992,0.6547085201793722
2025-10-26,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,23,5,0.21739130434782608,1678000.0,8390000,0.0,0.0,0.0,0.0,0.0,0.125,0.8125,0.1,0.9,0.0
2025-10-27,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,8,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0999,0.9001,0.0
2025-10-28,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0999,0.9001,0.0
2025-10-29,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0999,0.9001,0.0
2025-10-30,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0999,0.9001,0.0
2025-10-31,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,2,1,0.5,630000.0,630000,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0999,0.9001,0.0
2025-11-01,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0999,0.9001,0.0
2025-11-02,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,1,1,1.0,1230000.0,1230000,0.5,0.0,0.5,2460000.0,0.5,0.0,1.0,0.0999,0.9001,0.0
2025-11-03,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,6,1,0.16666666666666666,1410000.0,1410000,0.5,1.0,0.5,2820000.0,0.5,0.0,1.0,0.0999,0.9001,0.0
2025-11-04,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999,0.9001,0.0
2025-11-05,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,100,7,0.07,5460000.0,38220000,0.329348,0.0,0.329348,116047463.47328663,0.047049714285714285,0.10975609756097561,0.7560975609756098,0.0999,0.9001,0.0
2025-11-06,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,396,22,0.05555555555555555,7087023.863636363,155914525,0.670652,1.0,0.670652,232482010.0439572,0.03048418181818182,0.2694805194805195,0.7142857142857143,0.15070491006319883,0.8492950899368011,0.0
2025-11-07,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,371,19,0.05121293800539083,5750204.47368421,109253885,2.0,2.0,2.0,54626942.5,0.10526315789473684,0.23948220064724918,0.6828478964401294,0.17590497737556562,0.8240950226244343,0.0
2025-11-08,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,91,9,0.0989010989010989,8111915.444444444,73007239,1.0,1.0,1.0,73007239.0,0.1111111111111111,0.2112676056338028,0.7183098591549296,0.11305732484076433,0.8869426751592356,0.0
