segments.date_start,segments.date_end,campaign.name,ad_group.name,keyword,match_type,status,quality_score,expected_ctr,ad_relevance,landing_page_experience,impressions,clicks,conversions,cost_micros
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc,BROAD,ENABLED,5,BELOW_AVERAGE,ABOVE_AVERAGE,AVERAGE,20592,1347,114.25592,11209050971
2025-10-22,2026-07-05,Sales-Search-1,LCSW PLLC,lcsw new york pllc,BROAD,REMOVED,,,,,1287,50,0.0,264668988
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc new york,PHRASE,ENABLED,5,BELOW_AVERAGE,ABOVE_AVERAGE,AVERAGE,1122,109,9.5,921397025
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc ny,PHRASE,ENABLED,5,BELOW_AVERAGE,ABOVE_AVERAGE,AVERAGE,962,89,6.166667,727628222
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc new york,BROAD,REMOVED,,,,,904,38,4.333334,346057762
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,ny pllc formation,PHRASE,ENABLED,8,AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,649,88,13.0,1059225065
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,ny pllc,BROAD,REMOVED,,,,,594,27,5.5,320492643
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc,EXACT,REMOVED,,,,,515,14,1.0,83517050
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,new york pllc formation,PHRASE,ENABLED,5,BELOW_AVERAGE,ABOVE_AVERAGE,AVERAGE,495,31,4.0,314875720
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,ny pllc,PHRASE,ENABLED,8,AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,477,42,5.5,337737384
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc nys,PHRASE,ENABLED,5,BELOW_AVERAGE,ABOVE_AVERAGE,AVERAGE,477,28,1.0,184769643
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,nys pllc formation,PHRASE,ENABLED,5,BELOW_AVERAGE,ABOVE_AVERAGE,AVERAGE,383,33,4.5,266301470
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc application ny,EXACT,ENABLED,4,BELOW_AVERAGE,AVERAGE,AVERAGE,295,26,4.0,260123636
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc nys,BROAD,REMOVED,,,,,294,11,0.0,80155000
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,new york pllc,BROAD,REMOVED,,,,,266,12,2.0,97141372
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,new york pllc,PHRASE,ENABLED,5,BELOW_AVERAGE,ABOVE_AVERAGE,AVERAGE,260,13,0.0,102167034
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,form a pllc,PHRASE,ENABLED,5,AVERAGE,BELOW_AVERAGE,AVERAGE,252,26,0.0,185046350
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc in new york,PHRASE,ENABLED,5,BELOW_AVERAGE,ABOVE_AVERAGE,AVERAGE,249,30,2.0,309605437
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,how to form a pllc in new york,BROAD,PAUSED,,,,,242,13,0.0,104115358
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc in ny,PHRASE,ENABLED,5,BELOW_AVERAGE,ABOVE_AVERAGE,AVERAGE,234,24,1.25,202737985
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,new york pllc formation,BROAD,REMOVED,,,,,205,11,2.0,68871168
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,nys pllc,PHRASE,ENABLED,5,BELOW_AVERAGE,ABOVE_AVERAGE,AVERAGE,180,8,0.0,65995861
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc online,EXACT,PAUSED,7,ABOVE_AVERAGE,AVERAGE,AVERAGE,178,27,1.994079,269590000
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,nys pllc formation,BROAD,REMOVED,,,,,170,5,0.0,25516179
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,form a pllc in ny,PHRASE,ENABLED,5,AVERAGE,BELOW_AVERAGE,AVERAGE,162,16,1.5,182800880
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,ny pllc formation,BROAD,REMOVED,,,,,159,17,1.0,153500884
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc formation,PHRASE,ENABLED,8,AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,153,23,1.5,211194963
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,my pllc,PHRASE,ENABLED,8,AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,148,10,0.0,28308475
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,forming a pllc in ny,PHRASE,ENABLED,7,AVERAGE,ABOVE_AVERAGE,AVERAGE,143,28,5.0,295015439
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,nys pllc formation,EXACT,ENABLED,5,BELOW_AVERAGE,ABOVE_AVERAGE,AVERAGE,141,9,2.0,88045999
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc nyc,PHRASE,ENABLED,5,BELOW_AVERAGE,ABOVE_AVERAGE,AVERAGE,133,12,1.0,70064563
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,professional corporation new york,PHRASE,ENABLED,1,BELOW_AVERAGE,BELOW_AVERAGE,BELOW_AVERAGE,126,6,0.0,43620000
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,nypllc,EXACT,ENABLED,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,111,20,4.0,140967560
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc formation new york,EXACT,ENABLED,8,AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,101,11,2.5,181640000
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,new york professional llc formation,PHRASE,ENABLED,,,,,99,3,0.0,23334829
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,how to create a pllc in ny,BROAD,PAUSED,,,,,86,6,0.0,36264637
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,forming a pllc,BROAD,PAUSED,5,BELOW_AVERAGE,ABOVE_AVERAGE,AVERAGE,83,9,1.0,50913902
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,llc new york,BROAD,REMOVED,,,,,81,8,0.0,23397023
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc nyc,BROAD,REMOVED,,,,,78,6,0.0,44468188
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,start pllc,PHRASE,ENABLED,7,AVERAGE,AVERAGE,ABOVE_AVERAGE,65,10,15.5,90908762
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc online,PHRASE,ENABLED,7,ABOVE_AVERAGE,AVERAGE,AVERAGE,58,5,0.0,39825471
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,form a pllc in ny,BROAD,REMOVED,,,,,57,7,2.0,96723456
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,nys pllc requirements,BROAD,PAUSED,,,,,49,0,0.0,0
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc application ny,BROAD,PAUSED,4,BELOW_AVERAGE,AVERAGE,AVERAGE,37,6,0.0,36163862
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc new york,EXACT,REMOVED,,,,,31,2,0.0,26640000
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,forming a pllc,PHRASE,ENABLED,5,BELOW_AVERAGE,ABOVE_AVERAGE,AVERAGE,29,3,0.0,43800000
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,forming a pllc in new york,PHRASE,ENABLED,7,BELOW_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,27,2,0.0,16970000
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,get pllc,PHRASE,ENABLED,,,,,25,3,2.0,32822284
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,form a pllc in new york,PHRASE,ENABLED,6,BELOW_AVERAGE,AVERAGE,ABOVE_AVERAGE,23,3,0.0,31602354
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,form pllc,PHRASE,ENABLED,6,AVERAGE,AVERAGE,AVERAGE,21,2,0.0,7370000
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,professional service limited liability company,BROAD,PAUSED,,,,,17,0,0.0,0
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc nys,EXACT,REMOVED,,,,,17,1,0.0,4790000
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc new york cost,BROAD,PAUSED,,,,,15,0,0.0,0
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,ny pllc,EXACT,REMOVED,,,,,14,1,0.0,1330000
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,new york pllc requirements,PHRASE,PAUSED,,,,,13,1,0.0,4280000
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,ny pllc formation,EXACT,REMOVED,,,,,10,0,0.0,0
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,how to form a pllc in ny,BROAD,PAUSED,,,,,10,1,0.0,3220000
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,start a pllc,PHRASE,ENABLED,6,AVERAGE,BELOW_AVERAGE,ABOVE_AVERAGE,9,3,0.0,20813229
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,how to start a pllc,BROAD,PAUSED,,,,,9,3,0.0,7540000
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,forming a pllc in ny,EXACT,ENABLED,7,AVERAGE,ABOVE_AVERAGE,AVERAGE,8,3,1.0,23015866
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc articles of organization,BROAD,PAUSED,,,,,7,0,0.0,0
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,ny pllc requirements,PHRASE,PAUSED,,,,,7,0,0.0,0
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc formation in new york,PHRASE,ENABLED,8,AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,7,1,0.0,27100000
2025-10-22,2026-07-05,Sales-Search-1,LCSW PLLC,lcsw new york pllc,PHRASE,ENABLED,,,,,6,1,0.0,1140000
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc nyc,EXACT,REMOVED,,,,,6,1,0.0,1900000
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,start pllc,BROAD,REMOVED,,,,,6,1,0.0,12400000
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc formation in ny,PHRASE,ENABLED,8,AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,6,0,0.0,0
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,get a pllc,PHRASE,ENABLED,9,ABOVE_AVERAGE,AVERAGE,ABOVE_AVERAGE,5,0,0.0,0
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,new york pllc requirements,BROAD,PAUSED,,,,,4,0,0.0,0
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc formation in new york,BROAD,REMOVED,,,,,4,0,0.0,0
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,pllc formation new york,BROAD,REMOVED,,,,,2,0,0.0,0
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,form a pllc in new york,BROAD,REMOVED,,,,,2,0,0.0,0
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,domestic professional limited liability company,BROAD,PAUSED,,,,,1,0,0.0,0
2025-10-22,2026-07-05,Sales-Search-1,NY PLLC Formation,form pllc new york,BROAD,REMOVED,,,,,1,0,0.0,0
