segments.date,campaign.name,campaign.status,ad_group.name,ad_group.status,ad_group_criterion.criterion_id,ad_group_criterion.status,ad_group_criterion.system_serving_status,ad_group_criterion.cpc_bid_micros,ad_group_criterion.effective_cpc_bid_micros,ad_group_criterion.keyword.text,ad_group_criterion.keyword.match_type,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions,metrics.conversions_by_conversion_date,metrics.all_conversions,metrics.cost_per_conversion,metrics.conversions_from_interactions_rate,metrics.absolute_top_impression_percentage,metrics.top_impression_percentage
2025-10-23,Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,45308470,REMOVED,UNSPECIFIED,0,0,llc new york,BROAD,16,1,0.0625,3950000.0,3950000,0.0,0.0,0.0,0.0,0.0,0.125,0.6875
2025-10-23,Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,299584604598,REMOVED,UNSPECIFIED,0,0,pllc new york,BROAD,2,1,0.5,1180000.0,1180000,0.0,0.0,0.0,0.0,0.0,0.5,1.0
2025-10-23,Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,416101712637,REMOVED,UNSPECIFIED,0,0,ny pllc formation,BROAD,1,1,1.0,4180000.0,4180000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-10-23,Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,1411125302399,REMOVED,UNSPECIFIED,0,0,form pllc new york,BROAD,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2025-10-23,Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,1484765709596,REMOVED,UNSPECIFIED,0,0,new york pllc formation,BROAD,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-10-24,Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,45308470,REMOVED,UNSPECIFIED,0,0,llc new york,BROAD,22,2,0.09090909090909091,4980000.0,9960000,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.7142857142857143
2025-10-24,Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,299584604598,REMOVED,UNSPECIFIED,0,0,pllc new york,BROAD,14,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.7857142857142857
2025-10-24,Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,1679174006546,REMOVED,UNSPECIFIED,0,0,form a pllc in new york,BROAD,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,1.0
2025-10-25,Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,45308470,REMOVED,UNSPECIFIED,0,0,llc new york,BROAD,36,3,0.08333333333333333,1915674.3333333333,5747023,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.7777777777777778
2025-10-25,Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,299584604598,REMOVED,UNSPECIFIED,0,0,pllc new york,BROAD,4,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
2025-10-25,Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,416101712637,REMOVED,UNSPECIFIED,0,0,ny pllc formation,BROAD,3,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-10-26,Sales-Search-1,ENABLED,LCSW PLLC,REMOVED,2447325578313,REMOVED,UNSPECIFIED,0,0,lcsw new york pllc,BROAD,5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0
2025-10-26,Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,45308470,REMOVED,UNSPECIFIED,0,0,llc new york,BROAD,7,2,0.2857142857142857,1870000.0,3740000,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2025-10-26,Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,299584604598,REMOVED,UNSPECIFIED,0,0,pllc new york,BROAD,7,2,0.2857142857142857,1585000.0,3170000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-10-26,Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,1484765709596,REMOVED,UNSPECIFIED,0,0,new york pllc formation,BROAD,4,1,0.25,1480000.0,1480000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-10-27,Sales-Search-1,ENABLED,LCSW PLLC,REMOVED,2447325578313,REMOVED,UNSPECIFIED,0,0,lcsw new york pllc,BROAD,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-27,Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,299584604598,REMOVED,UNSPECIFIED,0,0,pllc new york,BROAD,4,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-10-27,Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,322739981499,REMOVED,UNSPECIFIED,0,0,pllc formation new york,BROAD,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-10-27,Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,1484765709596,REMOVED,UNSPECIFIED,0,0,new york pllc formation,BROAD,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-10-28,Sales-Search-1,ENABLED,LCSW PLLC,REMOVED,2447325578313,REMOVED,UNSPECIFIED,0,0,lcsw new york pllc,BROAD,4,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.25,0.75
2025-10-28,Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,322739981499,REMOVED,UNSPECIFIED,0,0,pllc formation new york,BROAD,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-10-29,Sales-Search-1,ENABLED,LCSW PLLC,REMOVED,2447325578313,REMOVED,UNSPECIFIED,0,0,lcsw new york pllc,BROAD,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-29,Sales-Search-1,ENABLED,NY PLLC Formation,ENABLED,48929560,ENABLED,ELIGIBLE,0,10000,pllc,BROAD,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
