segments.date,campaign.name,ad_group.name,search_term_view.search_term,search_term_view.status,segments.search_term_match_type,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions
2026-05-15,Sales-Search-1,NY PLLC Formation,forming a pllc in new york,ADDED,EXACT,1,1,1.0,9740000.0,9740000,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,forming a pllc in ny,ADDED,EXACT,3,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,new york pllc,ADDED,EXACT,5,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,ny pllc,ADDED,EXACT,5,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,nys pllc,ADDED,EXACT,4,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,pllc,ADDED,EXACT,15,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,pllc formation,ADDED,EXACT,2,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,pllc in new york,ADDED,EXACT,2,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,pllc in ny,ADDED,EXACT,2,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,pllc new york,ADDED,EXACT,2,1,0.5,33210000.0,33210000,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,pllc ny,ADDED,EXACT,1,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,ny pllc checklist,NONE,PHRASE,2,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,nypllc,ADDED,PHRASE,2,1,0.5,5730000.0,5730000,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,nysed pllc,NONE,PHRASE,1,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,pc vs pllc,NONE,PHRASE,1,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,pllc formation cost,NONE,PHRASE,2,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,pllc formation new york,ADDED,PHRASE,2,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,pllc means,NONE,PHRASE,4,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,pllc vs llc,NONE,PHRASE,2,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,what does pllc stand for,NONE,PHRASE,1,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,buy aged llc,NONE,BROAD,1,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,cost to set up llc in new york,NONE,BROAD,1,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,form pls709,NONE,BROAD,2,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,forming a pc in ny,NONE,BROAD,1,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,llc publishing service,NONE,BROAD,1,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,new york publication requirement,NONE,BROAD,1,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,ny llc law,NONE,BROAD,2,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,platinum filings llc,NONE,BROAD,2,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,publish my llc,NONE,BROAD,1,0,0.0,0.0,0,0.0
2026-05-15,Sales-Search-1,NY PLLC Formation,pllcs,NONE,NEAR_EXACT,2,0,0.0,0.0,0,0.0
