segments.date,campaign.id,campaign.name,campaign.status,campaign.advertising_channel_type,campaign.bidding_strategy_type,campaign_budget.amount_micros,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions,metrics.conversions_by_conversion_date,metrics.all_conversions,metrics.cost_per_conversion,metrics.conversions_from_interactions_rate,metrics.absolute_top_impression_percentage,metrics.top_impression_percentage,metrics.search_impression_share,metrics.search_rank_lost_impression_share,metrics.search_budget_lost_impression_share
2026-07-09,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,4,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.6,0.4,0.0
2026-07-09,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,67,5,0.07462686567164178,9276597.4,46382987,2.0,2.0,5.0,23191493.5,0.4,0.1320754716981132,0.6981132075471698,0.15588235294117647,0.8441176470588235,0.0
2026-07-10,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,4,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.25,0.75,0.0
2026-07-10,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,48,1,0.020833333333333332,10550000.0,10550000,0.0,0.0,0.0,0.0,0.0,0.07894736842105263,0.7894736842105263,0.13448275862068965,0.8655172413793103,0.0
2026-07-11,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,4,1,0.25,780000.0,780000,0.0,0.0,1.0,0.0,0.0,0.25,1.0,0.36363636363636365,0.6363636363636364,0.0
2026-07-11,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,31,1,0.03225806451612903,3570000.0,3570000,0.0,0.0,0.0,0.0,0.0,0.12,0.8,0.15151515151515152,0.8484848484848485,0.0
2026-07-12,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,3,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4,0.6,0.0
2026-07-12,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,41,1,0.024390243902439025,3260000.0,3260000,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.6774193548387096,0.21476510067114093,0.785234899328859,0.0
2026-07-13,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,12,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5882352941176471,0.4117647058823529,0.0
2026-07-13,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,63,3,0.047619047619047616,11952432.0,35857296,0.0,1.0,0.0,0.0,0.0,0.10638297872340426,0.723404255319149,0.1260053619302949,0.8739946380697051,0.0
2026-07-14,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,25,3,0.12,13630000.0,40890000,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.8421052631578947,0.6333333333333333,0.36666666666666664,0.0
2026-07-14,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,68,5,0.07352941176470588,9936000.0,49680000,1.0,1.0,3.111278,49680000.0,0.2,0.22448979591836735,0.7346938775510204,0.12860892388451445,0.8713910761154856,0.0
2026-07-15,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,12,2,0.16666666666666666,10835000.0,21670000,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.3333333333333333,0.6666666666666666,0.0
2026-07-15,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,41,2,0.04878048780487805,17756566.5,35513133,1.0,1.0,3.888722,35513133.0,0.5,0.2413793103448276,0.7931034482758621,0.0999,0.9001,0.0
