campaign.name,ad_group.name,ad_group_ad.ad.id,ad_group_ad.policy_summary.approval_status,ad_group_ad.policy_summary.review_status
Sales-Search-1,NY PLLC Formation,780467444330,APPROVED_LIMITED,REVIEWED
Sales-Search-1,LCSW PLLC,780474554790,UNKNOWN,REVIEW_IN_PROGRESS
Sales-Search-1,Physical Therapy PLLC,781071323014,UNKNOWN,REVIEW_IN_PROGRESS
Sales-Search-1,MHC PLLC,781162972514,UNKNOWN,REVIEW_IN_PROGRESS
01_Core_Exact_NY,Brand,816213511561,APPROVED,REVIEWED
01_Core_Exact_NY,Brand,816213555055,APPROVED,REVIEWED
01_Core_Exact_NY,Formation-Core,816213581518,APPROVED_LIMITED,REVIEWED
01_Core_Exact_NY,Service-Intent,816213581680,APPROVED,REVIEWED
01_Core_Exact_NY,Cost-Price,816213589888,APPROVED,REVIEWED
01_Core_Exact_NY,Formation-Core,816286133015,APPROVED_LIMITED,REVIEWED
01_Core_Exact_NY,Service-Intent,816286167770,APPROVED_LIMITED,REVIEWED
01_Core_Exact_NY,Cost-Price,816286168247,APPROVED,REVIEWED
