segments.date,segments.device,campaign.name,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions
2026-07-09,DESKTOP,01_Core_Exact_NY,1,0,0.0,0.0,0,0.0
2026-07-09,DESKTOP,Sales-Search-1,46,5,0.10869565217391304,9276597.4,46382987,2.0
2026-07-09,MOBILE,01_Core_Exact_NY,3,0,0.0,0.0,0,0.0
2026-07-09,MOBILE,Sales-Search-1,21,0,0.0,0.0,0,0.0
2026-07-10,DESKTOP,01_Core_Exact_NY,3,0,0.0,0.0,0,0.0
2026-07-10,DESKTOP,Sales-Search-1,29,0,0.0,0.0,0,0.0
2026-07-10,MOBILE,01_Core_Exact_NY,1,0,0.0,0.0,0,0.0
2026-07-10,MOBILE,Sales-Search-1,13,0,0.0,0.0,0,0.0
2026-07-10,TABLET,Sales-Search-1,6,1,0.16666666666666666,10550000.0,10550000,0.0
2026-07-11,DESKTOP,01_Core_Exact_NY,1,0,0.0,0.0,0,0.0
2026-07-11,DESKTOP,Sales-Search-1,22,0,0.0,0.0,0,0.0
2026-07-11,MOBILE,01_Core_Exact_NY,2,1,0.5,780000.0,780000,0.0
2026-07-11,MOBILE,Sales-Search-1,7,1,0.14285714285714285,3570000.0,3570000,0.0
2026-07-11,TABLET,01_Core_Exact_NY,1,0,0.0,0.0,0,0.0
2026-07-11,TABLET,Sales-Search-1,2,0,0.0,0.0,0,0.0
2026-07-12,DESKTOP,Sales-Search-1,25,0,0.0,0.0,0,0.0
2026-07-12,MOBILE,01_Core_Exact_NY,3,0,0.0,0.0,0,0.0
2026-07-12,MOBILE,Sales-Search-1,15,1,0.06666666666666667,3260000.0,3260000,0.0
2026-07-12,TABLET,Sales-Search-1,1,0,0.0,0.0,0,0.0
2026-07-13,DESKTOP,01_Core_Exact_NY,7,0,0.0,0.0,0,0.0
2026-07-13,DESKTOP,Sales-Search-1,50,3,0.06,11952432.0,35857296,0.0
2026-07-13,MOBILE,01_Core_Exact_NY,5,0,0.0,0.0,0,0.0
2026-07-13,MOBILE,Sales-Search-1,13,0,0.0,0.0,0,0.0
2026-07-14,DESKTOP,01_Core_Exact_NY,22,3,0.13636363636363635,13630000.0,40890000,0.0
2026-07-14,DESKTOP,Sales-Search-1,42,3,0.07142857142857142,9116666.666666666,27350000,1.0
2026-07-14,MOBILE,01_Core_Exact_NY,3,0,0.0,0.0,0,0.0
2026-07-14,MOBILE,Sales-Search-1,22,2,0.09090909090909091,11165000.0,22330000,0.0
2026-07-15,DESKTOP,01_Core_Exact_NY,10,1,0.1,14020000.0,14020000,0.0
2026-07-15,DESKTOP,Sales-Search-1,55,5,0.09090909090909091,18680441.2,93402206,2.0
2026-07-15,MOBILE,01_Core_Exact_NY,8,2,0.25,4790000.0,9580000,0.0
2026-07-15,MOBILE,Sales-Search-1,18,1,0.05555555555555555,4830000.0,4830000,0.0
2026-07-16,DESKTOP,01_Core_Exact_NY,10,0,0.0,0.0,0,0.0
2026-07-16,DESKTOP,Sales-Search-1,47,4,0.0851063829787234,17784726.25,71138905,1.0
2026-07-16,MOBILE,01_Core_Exact_NY,2,0,0.0,0.0,0,0.0
2026-07-16,MOBILE,Sales-Search-1,16,4,0.25,5997500.0,23990000,0.0
2026-07-17,DESKTOP,01_Core_Exact_NY,7,0,0.0,0.0,0,0.0
2026-07-17,DESKTOP,Sales-Search-1,22,1,0.045454545454545456,12910000.0,12910000,0.0
2026-07-17,MOBILE,01_Core_Exact_NY,5,1,0.2,2480000.0,2480000,0.0
2026-07-17,MOBILE,Sales-Search-1,10,2,0.2,5340000.0,10680000,0.0
2026-07-18,DESKTOP,01_Core_Exact_NY,5,1,0.2,6010000.0,6010000,0.0
2026-07-18,DESKTOP,Sales-Search-1,16,0,0.0,0.0,0,0.0
2026-07-18,MOBILE,Sales-Search-1,1,0,0.0,0.0,0,0.0
2026-07-18,TABLET,Sales-Search-1,1,0,0.0,0.0,0,0.0
2026-07-19,DESKTOP,01_Core_Exact_NY,4,0,0.0,0.0,0,0.0
2026-07-19,DESKTOP,Sales-Search-1,29,0,0.0,0.0,0,0.0
2026-07-19,MOBILE,Sales-Search-1,15,0,0.0,0.0,0,0.0
2026-07-20,DESKTOP,01_Core_Exact_NY,7,2,0.2857142857142857,13910000.0,27820000,0.0
2026-07-20,DESKTOP,Sales-Search-1,42,3,0.07142857142857142,18710000.0,56130000,0.0
2026-07-20,MOBILE,01_Core_Exact_NY,5,0,0.0,0.0,0,0.0
2026-07-20,MOBILE,Sales-Search-1,24,4,0.16666666666666666,6960547.5,27842190,0.0
2026-07-21,DESKTOP,01_Core_Exact_NY,6,1,0.16666666666666666,5540000.0,5540000,0.0
2026-07-21,DESKTOP,Sales-Search-1,38,2,0.05263157894736842,9580000.0,19160000,0.0
2026-07-21,MOBILE,Sales-Search-1,17,2,0.11764705882352941,9565000.0,19130000,1.0
2026-07-22,DESKTOP,01_Core_Exact_NY,7,0,0.0,0.0,0,0.0
2026-07-22,DESKTOP,Sales-Search-1,48,3,0.0625,10840000.0,32520000,0.0
2026-07-22,MOBILE,01_Core_Exact_NY,6,1,0.16666666666666666,3970000.0,3970000,0.0
2026-07-22,MOBILE,Sales-Search-1,24,3,0.125,1540409.6666666667,4621229,0.0
2026-07-22,TABLET,Sales-Search-1,3,0,0.0,0.0,0,0.0
2026-07-23,DESKTOP,01_Core_Exact_NY,7,2,0.2857142857142857,12395000.0,24790000,0.0
2026-07-23,DESKTOP,Sales-Search-1,57,6,0.10526315789473684,6313977.166666667,37883863,0.0
2026-07-23,MOBILE,01_Core_Exact_NY,2,0,0.0,0.0,0,0.0
2026-07-23,MOBILE,Sales-Search-1,16,3,0.1875,3273333.3333333335,9820000,0.0
2026-07-24,DESKTOP,01_Core_Exact_NY,8,2,0.25,5645000.0,11290000,0.0
2026-07-24,DESKTOP,Sales-Search-1,48,2,0.041666666666666664,6475000.0,12950000,0.0
2026-07-24,MOBILE,01_Core_Exact_NY,1,0,0.0,0.0,0,0.0
2026-07-24,MOBILE,Sales-Search-1,9,1,0.1111111111111111,4870000.0,4870000,0.0
2026-07-25,DESKTOP,Sales-Search-1,17,4,0.23529411764705882,8417500.0,33670000,0.0
2026-07-25,MOBILE,Sales-Search-1,4,0,0.0,0.0,0,0.0
2026-07-26,DESKTOP,Sales-Search-1,10,1,0.1,9130000.0,9130000,0.0
