segments.date,campaign.id,campaign.name,campaign.status,campaign.advertising_channel_type,campaign.bidding_strategy_type,campaign_budget.amount_micros,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions,metrics.conversions_by_conversion_date,metrics.all_conversions,metrics.cost_per_conversion,metrics.conversions_from_interactions_rate,metrics.absolute_top_impression_percentage,metrics.top_impression_percentage,metrics.search_impression_share,metrics.search_rank_lost_impression_share,metrics.search_budget_lost_impression_share
2026-08-01,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,4,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.42857142857142855,0.5714285714285714,0.0
2026-08-01,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,15,4,0.26666666666666666,10652205.75,42608823,2.0,2.0,7.0,21304411.5,0.5,0.4,0.9,0.14492753623188406,0.855072463768116,0.0
2026-08-02,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,10,2,0.2,13350000.0,26700000,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.4444444444444444,0.5555555555555556,0.0
2026-08-02,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,25,1,0.04,9110000.0,9110000,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.7222222222222222,0.1651376146788991,0.8348623853211009,0.0
2026-08-03,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,17,1,0.058823529411764705,1730000.0,1730000,0.0,0.0,1.0,0.0,0.0,0.14285714285714285,1.0,0.3888888888888889,0.6111111111111112,0.0
2026-08-03,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,63,5,0.07936507936507936,9324000.0,46620000,0.0,0.0,2.0,0.0,0.0,0.22727272727272727,0.8863636363636364,0.176,0.824,0.0
2026-08-04,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,17,4,0.23529411764705882,5465000.0,21860000,0.0,0.0,0.078655,0.0,0.0,0.23076923076923078,0.8461538461538461,0.4642857142857143,0.5357142857142857,0.0
2026-08-04,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,82,7,0.08536585365853659,7886207.571428572,55203453,1.0,1.0,4.0,55203453.0,0.14285714285714285,0.2,0.8833333333333333,0.17341040462427745,0.8265895953757225,0.0
2026-08-05,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,19,1,0.05263157894736842,2347766.0,2347766,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.8,0.5357142857142857,0.4642857142857143,0.0
2026-08-05,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,98,2,0.02040816326530612,1923679.0,3847358,1.0,1.0,4.0,3847358.0,0.5,0.20833333333333334,0.7777777777777778,0.13454545454545455,0.8654545454545455,0.0
2026-08-06,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,17,2,0.11764705882352941,8065000.0,16130000,0.0,0.0,2.0,0.0,0.0,0.23076923076923078,1.0,0.4642857142857143,0.5357142857142857,0.0
2026-08-06,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,4,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0
2026-08-06,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,125,8,0.064,11097500.0,88780000,2.0,1.0,8.0,44390000.0,0.25,0.25,0.8690476190476191,0.14736842105263157,0.8526315789473684,0.0
2026-08-07,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,9,2,0.2222222222222222,2700000.0,5400000,0.0,0.0,1.0,0.0,0.0,0.125,1.0,0.42105263157894735,0.5789473684210527,0.0
2026-08-07,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,4,1,0.25,12380000.0,12380000,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0
2026-08-07,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,61,6,0.09836065573770492,9243333.333333334,55460000,0.0,1.0,0.0,0.0,0.0,0.24390243902439024,0.7317073170731707,0.0999,0.9001,0.0
2026-08-08,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,4,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36363636363636365,0.6363636363636364,0.0
2026-08-08,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,29,1,0.034482758620689655,8520000.0,8520000,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.6363636363636364,0.12631578947368421,0.8736842105263158,0.0
2026-08-09,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,8,1,0.125,860000.0,860000,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.28,0.72,0.0
2026-08-09,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,4,1,0.25,11781596.0,11781596,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.375,0.625,0.0
2026-08-09,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,54,5,0.09259259259259259,6792285.6,33961428,0.0,0.0,1.056273,0.0,0.0,0.15789473684210525,0.7631578947368421,0.24516129032258063,0.7548387096774194,0.0
2026-08-10,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,14,2,0.14285714285714285,1945000.0,3890000,0.0,0.0,0.014797,0.0,0.0,0.16666666666666666,0.6666666666666666,0.5217391304347826,0.4782608695652174,0.0
2026-08-10,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,3,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
2026-08-10,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,126,13,0.10317460317460317,8864973.153846154,115244651,1.0,1.0,4.037441,115244651.0,0.07692307692307693,0.18681318681318682,0.7252747252747253,0.16636851520572452,0.8336314847942755,0.0
2026-08-11,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,26,4,0.15384615384615385,10732161.0,42928644,1.0,1.0,3.943727,42928644.0,0.25,0.15,0.85,0.625,0.375,0.0
2026-08-11,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,5,1,0.2,13420000.0,13420000,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6,0.4,0.0
2026-08-11,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,112,10,0.08928571428571429,11286959.0,112869590,2.0,2.0,7.883904,56434795.0,0.2,0.24390243902439024,0.7560975609756098,0.17558886509635974,0.8244111349036403,0.0
2026-08-12,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,18,3,0.16666666666666666,3190000.0,9570000,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.41025641025641024,0.5897435897435898,0.0
2026-08-12,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,3,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0
2026-08-12,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,102,5,0.049019607843137254,5824000.0,29120000,0.0,0.0,0.0,0.0,0.0,0.13513513513513514,0.9054054054054054,0.18226600985221675,0.8177339901477833,0.0
2026-08-13,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,13,2,0.15384615384615385,9810000.0,19620000,0.0,0.0,1.0,0.0,0.0,0.3,0.9,0.4,0.6,0.0
2026-08-13,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999,0.9001,0.0
2026-08-13,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,97,3,0.030927835051546393,13313333.333333334,39940000,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.7941176470588235,0.15419501133786848,0.8458049886621315,0.0
2026-08-14,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,30,2,0.06666666666666667,6490000.0,12980000,1.0,1.0,4.0,12980000.0,0.5,0.3888888888888889,0.9444444444444444,0.6666666666666666,0.3333333333333333,0.0
2026-08-14,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999,0.9001,0.0
2026-08-14,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,78,6,0.07692307692307693,13670000.0,82020000,0.0,0.0,2.0,0.0,0.0,0.2545454545454545,0.7818181818181819,0.13221153846153846,0.8677884615384616,0.0
2026-08-15,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,9,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.6,0.4,0.0
2026-08-15,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,43,2,0.046511627906976744,4745000.0,9490000,0.0,0.0,0.0,0.0,0.0,0.25,0.84375,0.17582417582417584,0.8241758241758241,0.0
2026-08-16,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,5,1,0.2,3123072.0,3123072,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5714285714285714,0.42857142857142855,0.0
2026-08-16,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,40,3,0.075,11023952.333333334,33071857,1.0,0.0,3.0,33071857.0,0.3333333333333333,0.3448275862068966,0.8275862068965517,0.13596491228070176,0.8640350877192983,0.0
2026-08-17,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,22,4,0.18181818181818182,5107500.0,20430000,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.8888888888888888,0.5135135135135135,0.4864864864864865,0.0
2026-08-17,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999,0.9001,0.0
2026-08-17,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,106,6,0.05660377358490566,10316990.666666666,61901944,0.0,1.0,0.0,0.0,0.0,0.18666666666666668,0.8,0.15478615071283094,0.845213849287169,0.0
2026-08-18,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,22,5,0.22727272727272727,8008000.0,40040000,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.7647058823529411,0.5,0.5,0.0
2026-08-18,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.0
2026-08-18,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,104,4,0.038461538461538464,7035000.0,28140000,0.0,0.0,3.0,0.0,0.0,0.24285714285714285,0.8142857142857143,0.13257575757575757,0.8674242424242424,0.0
2026-08-19,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,21,2,0.09523809523809523,4640000.0,9280000,0.0,0.0,1.0,0.0,0.0,0.13333333333333333,0.7333333333333333,0.5769230769230769,0.4230769230769231,0.0
2026-08-19,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,3,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.8,0.0
2026-08-19,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,104,9,0.08653846153846154,12750000.0,114750000,2.0,2.0,8.0,57375000.0,0.2222222222222222,0.21739130434782608,0.855072463768116,0.15106382978723404,0.8489361702127659,0.0
2026-08-20,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,26,2,0.07692307692307693,6739452.0,13478904,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.4473684210526316,0.5526315789473685,0.0
2026-08-20,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
2026-08-20,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,90,10,0.1111111111111111,8201449.5,82014495,0.0,0.0,2.0,0.0,0.0,0.2698412698412698,0.873015873015873,0.2012779552715655,0.7987220447284346,0.0
2026-08-21,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,16,2,0.125,3885000.0,7770000,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.9230769230769231,0.34210526315789475,0.6578947368421053,0.0
2026-08-21,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999,0.9001,0.0
2026-08-21,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,60,4,0.06666666666666667,14110000.0,56440000,1.0,1.0,3.0,56440000.0,0.25,0.14893617021276595,0.7446808510638298,0.192,0.808,0.0
2026-08-22,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,13,2,0.15384615384615385,4690755.0,9381510,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.8888888888888888,0.1111111111111111,0.0
2026-08-22,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2026-08-22,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,25,1,0.04,2190000.0,2190000,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.6470588235294118,0.12878787878787878,0.8712121212121212,0.0
2026-08-23,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,4,1,0.25,610000.0,610000,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3076923076923077,0.6923076923076923,0.0
