Auction insights report
"June 8, 2026 - September 5, 2026"
Display URL domain,Impression share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
bizee.com,17.71%,5.48%,39.85%,60.56%,21.79%,13.51%
forbes.com,19.90%,10.61%,37.71%,81.51%,8.92%,13.25%
mycorporation.com,< 10%,37.56%,55.06%,84.52%,17.05%,10.95%
You,13.81%, --, --,80.51%,19.22%, --
newyorkregisteredagent.com,25.38%,48.60%,57.24%,88.78%,24.62%,9.97%
zenbusiness.com,20.73%,11.68%,46.71%,72.48%,12.10%,13.05%
northwestregisteredagent.com,28.65%,42.25%,52.78%,81.07%,34.76%,10.73%
tailorbrands.com,< 10%,2.51%,25.81%,64.45%,10.70%,13.72%
swyftfilings.com,< 10%,4.65%,36.52%,60.89%,17.97%,13.57%
legalzoom.com,42.25%,62.00%,65.60%,79.53%,36.05%,8.19%
