shared_set.name,shared_set.id,shared_criterion.keyword.text,shared_criterion.keyword.match_type
Neg B — Research DIY education,12145390194,template,PHRASE
Neg B — Research DIY education,12145390194,what is,PHRASE
Neg B — Research DIY education,12145390194,free download,PHRASE
Neg B — Research DIY education,12145390194,pdf,PHRASE
Neg B — Research DIY education,12145390194,diy,PHRASE
Neg B — Research DIY education,12145390194,sample,PHRASE
Neg B — Research DIY education,12145390194,definition,PHRASE
Neg B — Research DIY education,12145390194,meaning,PHRASE
Neg B — Research DIY education,12145390194,versus,PHRASE
Neg B — Research DIY education,12145390194,vs,PHRASE
Neg B — Research DIY education,12145390194,pros and cons,PHRASE
Neg B — Research DIY education,12145390194,yourself,PHRASE
Neg B — Research DIY education,12145390194,example,PHRASE
Neg B — Research DIY education,12145390194,difference between,PHRASE
Neg B — Research DIY education,12145390194,wiki,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,arkansas,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,tennessee,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,new mexico,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,kansas,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,north carolina,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,new hampshire,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,georgia,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,west virginia,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,alabama,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,massachusetts,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,rhode island,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,hawaii,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,nevada,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,south carolina,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,colorado,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,montana,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,utah,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,ohio,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,south dakota,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,oklahoma,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,oregon,PHRASE
Neg A-FQ — Other states (excl NY + FQ origins),12146898703,washington,PHRASE
