segments.date,campaign.id,campaign.name,campaign.status,campaign.advertising_channel_type,campaign.bidding_strategy_type,campaign_budget.amount_micros,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions,metrics.conversions_by_conversion_date,metrics.all_conversions,metrics.cost_per_conversion,metrics.conversions_from_interactions_rate,metrics.absolute_top_impression_percentage,metrics.top_impression_percentage,metrics.search_impression_share,metrics.search_rank_lost_impression_share,metrics.search_budget_lost_impression_share
2026-09-02,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,23,2,0.08695652173913043,9335000.0,18670000,0.0,0.0,2.0,0.0,0.0,0.375,0.6875,0.20512820512820512,0.7948717948717948,0.0
2026-09-02,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.0
2026-09-02,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,88,3,0.03409090909090909,12533050.666666666,37599152,0.0,0.0,2.0,0.0,0.0,0.234375,0.78125,0.15347721822541965,0.8465227817745803,0.0
2026-09-03,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,24,2,0.08333333333333333,9480000.0,18960000,0.0,0.0,0.0,0.0,0.0,0.2,0.75,0.3076923076923077,0.6923076923076923,0.0
2026-09-03,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,3,1,0.3333333333333333,3900000.0,3900000,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.6666666666666666,0.3333333333333333,0.0
2026-09-03,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,102,10,0.09803921568627451,12800000.0,128000000,1.0,0.0,6.549021,128000000.0,0.1,0.23529411764705882,0.8382352941176471,0.16267942583732056,0.8373205741626795,0.0
2026-09-04,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,30,5,0.16666666666666666,17930000.0,89650000,0.0,0.0,1.166667,0.0,0.0,0.47368421052631576,0.8947368421052632,0.38,0.62,0.0
2026-09-04,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0
2026-09-04,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,83,9,0.10843373493975904,16815555.555555556,151340000,1.887478,3.0,6.948765,80181067.01111218,0.20971977777777778,0.288135593220339,0.8135593220338984,0.16260162601626016,0.8373983739837398,0.0
2026-09-05,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,20,2,0.1,8825000.0,17650000,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.8571428571428571,0.45161290322580644,0.5483870967741935,0.0
