change_event.change_date_time,change_event.user_email,change_event.client_type,change_event.change_resource_type,change_event.resource_change_operation,change_event.changed_fields,change_event.old_resource,change_event.new_resource,change_event.campaign,change_event.ad_group
2026-09-16 16:54:50.573884,contact@nypllc.com,GOOGLE_ADS_API,AD_GROUP,CREATE,"paths: ""campaign""
paths: ""id""
paths: ""name""
paths: ""resource_name""
paths: ""status""
paths: ""type""
","ad_group {
}
","ad_group {
  resource_name: ""customers/1529880213/adGroups/201740612873""
  status: ENABLED
  type_: SEARCH_STANDARD
  id: 201740612873
  name: ""California""
  campaign: ""customers/1529880213/campaigns/24012757620""
}
",customers/1529880213/campaigns/24012757620,customers/1529880213/adGroups/201740612873
2026-09-16 16:54:50.994939,contact@nypllc.com,GOOGLE_ADS_API,AD_GROUP_CRITERION,CREATE,"paths: ""ad_group""
paths: ""criterion_id""
paths: ""keyword.match_type""
paths: ""keyword.text""
paths: ""negative""
paths: ""resource_name""
paths: ""status""
","ad_group_criterion {
}
","ad_group_criterion {
  resource_name: ""customers/1529880213/adGroupCriteria/201740612873~2492818510960""
  status: ENABLED
  keyword {
    match_type: EXACT
    text: ""california pllc new york""
  }
  criterion_id: 2492818510960
  ad_group: ""customers/1529880213/adGroups/201740612873""
  negative: false
}
",customers/1529880213/campaigns/24012757620,customers/1529880213/adGroups/201740612873
2026-09-16 16:54:51.37556,contact@nypllc.com,GOOGLE_ADS_API,AD_GROUP_CRITERION,CREATE,"paths: ""ad_group""
paths: ""criterion_id""
paths: ""keyword.match_type""
paths: ""keyword.text""
paths: ""negative""
paths: ""resource_name""
paths: ""status""
","ad_group_criterion {
}
","ad_group_criterion {
  resource_name: ""customers/1529880213/adGroupCriteria/201740612873~2500468247653""
  status: ENABLED
  keyword {
    match_type: EXACT
    text: ""ca pllc new york""
  }
  criterion_id: 2500468247653
  ad_group: ""customers/1529880213/adGroups/201740612873""
  negative: false
}
",customers/1529880213/campaigns/24012757620,customers/1529880213/adGroups/201740612873
2026-09-16 16:54:51.841175,contact@nypllc.com,GOOGLE_ADS_API,AD_GROUP_CRITERION,CREATE,"paths: ""ad_group""
paths: ""criterion_id""
paths: ""keyword.match_type""
paths: ""keyword.text""
paths: ""negative""
paths: ""resource_name""
paths: ""status""
","ad_group_criterion {
}
","ad_group_criterion {
  resource_name: ""customers/1529880213/adGroupCriteria/201740612873~2502392718920""
  status: ENABLED
  keyword {
    match_type: EXACT
    text: ""california pllc doing business in new york""
  }
  criterion_id: 2502392718920
  ad_group: ""customers/1529880213/adGroups/201740612873""
  negative: false
}
",customers/1529880213/campaigns/24012757620,customers/1529880213/adGroups/201740612873
2026-09-16 16:54:52.238221,contact@nypllc.com,GOOGLE_ADS_API,AD_GROUP_CRITERION,CREATE,"paths: ""ad_group""
paths: ""criterion_id""
paths: ""keyword.match_type""
paths: ""keyword.text""
paths: ""negative""
paths: ""resource_name""
paths: ""status""
","ad_group_criterion {
}
","ad_group_criterion {
  resource_name: ""customers/1529880213/adGroupCriteria/201740612873~2499346801376""
  status: ENABLED
  keyword {
    match_type: EXACT
    text: ""register california pllc in new york""
  }
  criterion_id: 2499346801376
  ad_group: ""customers/1529880213/adGroups/201740612873""
  negative: false
}
",customers/1529880213/campaigns/24012757620,customers/1529880213/adGroups/201740612873
2026-09-16 16:54:52.530849,contact@nypllc.com,GOOGLE_ADS_API,AD_GROUP,CREATE,"paths: ""campaign""
paths: ""id""
paths: ""name""
paths: ""resource_name""
paths: ""status""
paths: ""type""
","ad_group {
}
","ad_group {
  resource_name: ""customers/1529880213/adGroups/201740615953""
  status: ENABLED
  type_: SEARCH_STANDARD
  id: 201740615953
  name: ""Colorado""
  campaign: ""customers/1529880213/campaigns/24012757620""
}
",customers/1529880213/campaigns/24012757620,customers/1529880213/adGroups/201740615953
2026-09-16 16:54:52.926793,contact@nypllc.com,GOOGLE_ADS_API,AD_GROUP_CRITERION,CREATE,"paths: ""ad_group""
paths: ""criterion_id""
paths: ""keyword.match_type""
paths: ""keyword.text""
paths: ""negative""
paths: ""resource_name""
paths: ""status""
","ad_group_criterion {
}
","ad_group_criterion {
  resource_name: ""customers/1529880213/adGroupCriteria/201740615953~2501912809436""
  status: ENABLED
  keyword {
    match_type: EXACT
    text: ""colorado pllc new york""
  }
  criterion_id: 2501912809436
  ad_group: ""customers/1529880213/adGroups/201740615953""
  negative: false
}
",customers/1529880213/campaigns/24012757620,customers/1529880213/adGroups/201740615953
2026-09-16 16:54:53.396928,contact@nypllc.com,GOOGLE_ADS_API,AD_GROUP_CRITERION,CREATE,"paths: ""ad_group""
paths: ""criterion_id""
paths: ""keyword.match_type""
paths: ""keyword.text""
paths: ""negative""
paths: ""resource_name""
paths: ""status""
","ad_group_criterion {
}
","ad_group_criterion {
  resource_name: ""customers/1529880213/adGroupCriteria/201740615953~2501914426059""
  status: ENABLED
  keyword {
    match_type: EXACT
    text: ""co pllc new york""
  }
  criterion_id: 2501914426059
  ad_group: ""customers/1529880213/adGroups/201740615953""
  negative: false
}
",customers/1529880213/campaigns/24012757620,customers/1529880213/adGroups/201740615953
2026-09-16 16:54:53.97058,contact@nypllc.com,GOOGLE_ADS_API,AD_GROUP_CRITERION,CREATE,"paths: ""ad_group""
paths: ""criterion_id""
paths: ""keyword.match_type""
paths: ""keyword.text""
paths: ""negative""
paths: ""resource_name""
paths: ""status""
","ad_group_criterion {
}
","ad_group_criterion {
  resource_name: ""customers/1529880213/adGroupCriteria/201740615953~2499346807096""
  status: ENABLED
  keyword {
    match_type: EXACT
    text: ""colorado pllc doing business in new york""
  }
  criterion_id: 2499346807096
  ad_group: ""customers/1529880213/adGroups/201740615953""
  negative: false
}
",customers/1529880213/campaigns/24012757620,customers/1529880213/adGroups/201740615953
2026-09-16 16:54:54.360013,contact@nypllc.com,GOOGLE_ADS_API,AD_GROUP_CRITERION,CREATE,"paths: ""ad_group""
paths: ""criterion_id""
paths: ""keyword.match_type""
paths: ""keyword.text""
paths: ""negative""
paths: ""resource_name""
paths: ""status""
","ad_group_criterion {
}
","ad_group_criterion {
  resource_name: ""customers/1529880213/adGroupCriteria/201740615953~2501916959699""
  status: ENABLED
  keyword {
    match_type: EXACT
    text: ""register colorado pllc in new york""
  }
  criterion_id: 2501916959699
  ad_group: ""customers/1529880213/adGroups/201740615953""
  negative: false
}
",customers/1529880213/campaigns/24012757620,customers/1529880213/adGroups/201740615953
