segments.date,campaign.name,segments.conversion_action,segments.conversion_action_name,metrics.conversions,metrics.conversions_by_conversion_date,metrics.all_conversions,metrics.conversions_value,metrics.all_conversions_value
2026-09-01,01_Core_Exact_NY,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),0.0,0.0,1.485203,0.0,1.485203
2026-09-01,01_Core_Exact_NY,customers/1529880213/conversionActions/7678072764,Purchase (Spiffy thank-you value),1.5,1.5,1.5,1377.5,1377.5
2026-09-01,01_Core_Exact_NY,customers/1529880213/conversionActions/7678925960,Begin checkout (Spiffy embed),0.0,0.0,4.0,0.0,0.0
2026-09-01,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),0.0,0.0,1.620946,0.0,1.620946
2026-09-01,Sales-Search-1,customers/1529880213/conversionActions/7678072764,Purchase (Spiffy thank-you value),1.728135,0.5,1.728135,1529.399475,1529.399475
2026-09-01,Sales-Search-1,customers/1529880213/conversionActions/7678925960,Begin checkout (Spiffy embed),0.0,0.0,1.181619,0.0,0.0
2026-09-02,01_Core_Exact_NY,customers/1529880213/conversionActions/7678925960,Begin checkout (Spiffy embed),0.0,0.0,2.0,0.0,0.0
2026-09-02,Sales-Search-1,customers/1529880213/conversionActions/7678925960,Begin checkout (Spiffy embed),0.0,0.0,2.0,0.0,0.0
2026-09-03,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),0.0,0.0,1.049021,0.0,1.049021
2026-09-03,Sales-Search-1,customers/1529880213/conversionActions/7678072764,Purchase (Spiffy thank-you value),1.0,0.0,1.0,935.0,935.0
2026-09-03,Sales-Search-1,customers/1529880213/conversionActions/7678925960,Begin checkout (Spiffy embed),0.0,0.0,4.5,0.0,0.0
2026-09-04,01_Core_Exact_NY,customers/1529880213/conversionActions/7678925960,Begin checkout (Spiffy embed),0.0,0.0,1.166667,0.0,0.0
2026-09-04,Sales-Search-1,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),0.0,0.0,1.909573,0.0,1.909573
2026-09-04,Sales-Search-1,customers/1529880213/conversionActions/7678072764,Purchase (Spiffy thank-you value),1.887478,3.0,1.887478,1915.41803,1915.41803
2026-09-04,Sales-Search-1,customers/1529880213/conversionActions/7678925960,Begin checkout (Spiffy embed),0.0,0.0,3.151714,0.0,0.0
2026-09-06,01_Core_Exact_NY,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),0.0,0.0,1.0,0.0,1.0
2026-09-06,01_Core_Exact_NY,customers/1529880213/conversionActions/7678072764,Purchase (Spiffy thank-you value),1.0,1.0,1.0,1130.0,1130.0
2026-09-06,01_Core_Exact_NY,customers/1529880213/conversionActions/7678925960,Begin checkout (Spiffy embed),0.0,0.0,1.0,0.0,0.0
2026-09-06,Sales-Search-1,customers/1529880213/conversionActions/7678925960,Begin checkout (Spiffy embed),0.0,0.0,1.0,0.0,0.0
2026-09-08,01_Core_Exact_NY,customers/1529880213/conversionActions/7353506045,Purchase (Page load www.nypllc.com/order/confirmation),0.0,0.0,2.0,0.0,2.0
2026-09-08,01_Core_Exact_NY,customers/1529880213/conversionActions/7678072764,Purchase (Spiffy thank-you value),2.0,0.0,2.0,1770.0,1770.0
2026-09-08,01_Core_Exact_NY,customers/1529880213/conversionActions/7678925960,Begin checkout (Spiffy embed),0.0,0.0,2.0,0.0,0.0
