Campaign performance
"October 22, 2025 - April 23, 2026"
Campaign,Campaign state,Campaign type,Day,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Search impr. share,Search lost IS (rank),Search lost IS (budget)
Sales-Search-1,Enabled,Search,2026-01-05,30,465,6.45%,USD,9.15,274.41,13.50%,63.09%,1.00,0,274.41,3.33%,15.44%,84.56%,0.00%
Sales-Search-1,Enabled,Search,2026-01-06,27,703,3.84%,USD,11.71,316.06,19.51%,58.54%,3.00,0,105.35,11.11%,19.42%,80.58%,0.00%
Sales-Search-1,Enabled,Search,2025-12-23,24,282,8.51%,USD,10.87,260.94,21.36%,70.91%,1.00,0,260.94,4.17%,11.38%,88.62%,0.00%
Sales-Search-1,Enabled,Search,2025-11-06,22,396,5.56%,USD,7.09,155.91,26.95%,71.43%,0.67,0,232.48,3.05%,15.07%,84.93%,0.00%
Sales-Search-1,Enabled,Search,2025-12-29,22,319,6.90%,USD,9.38,206.30,21.21%,75.76%,0.00,0,0,0.00%,10.92%,89.08%,0.00%
Sales-Search-1,Enabled,Search,2026-01-07,21,340,6.18%,USD,8.23,172.82,17.39%,63.64%,2.00,0,86.41,9.52%,15.46%,84.54%,0.00%
Sales-Search-1,Enabled,Search,2025-12-17,20,342,5.85%,USD,8.84,176.86,23.17%,75.61%,2.27,0,77.90,11.35%,12.49%,87.51%,0.00%
Sales-Search-1,Enabled,Search,2025-12-30,20,427,4.68%,USD,11.05,220.97,23.61%,71.15%,1.00,0,220.97,5.00%,14.36%,85.64%,0.00%
Sales-Search-1,Enabled,Search,2025-12-31,20,349,5.73%,USD,11.04,220.90,16.98%,60.00%,0.00,0,0,0.00%,17.25%,82.75%,0.00%
Sales-Search-1,Enabled,Search,2026-04-15,20,254,7.87%,USD,9.44,188.81,24.57%,89.71%,1.00,0,188.81,5.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-11-07,19,371,5.12%,USD,5.75,109.25,23.95%,68.28%,2.00,0,54.63,10.53%,17.59%,82.41%,0.00%
Sales-Search-1,Enabled,Search,2026-04-20,19,324,5.86%,USD,13.88,263.81,20.69%,86.21%,2.00,0,131.91,10.53%,11.14%,88.86%,0.00%
Sales-Search-1,Enabled,Search,2025-11-25,18,437,4.12%,USD,8.25,148.45,21.24%,73.86%,1.00,0,148.45,5.56%,13.56%,86.44%,0.00%
Sales-Search-1,Enabled,Search,2026-01-03,18,157,11.46%,USD,6.51,117.18,16.10%,73.73%,4.00,0,29.30,22.22%,12.54%,87.46%,0.00%
Sales-Search-1,Enabled,Search,2026-02-02,18,159,11.32%,USD,6.02,108.45,15.79%,86.84%,0.00,0,0,0.00%,19.83%,80.17%,0.00%
Sales-Search-1,Enabled,Search,2026-04-13,18,201,8.96%,USD,12.74,229.37,15.89%,78.81%,2.00,0,114.68,11.11%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-04-21,17,264,6.44%,USD,6.65,113.12,20.65%,89.13%,1.00,0,113.12,5.88%,10.43%,89.57%,0.00%
Sales-Search-1,Enabled,Search,2025-11-24,16,344,4.65%,USD,9.54,152.71,25.30%,74.30%,0.33,0,458.12,2.08%,11.72%,88.28%,0.00%
Sales-Search-1,Enabled,Search,2025-12-10,16,193,8.29%,USD,6.59,105.43,20.29%,78.26%,1.00,0,105.43,6.25%,10.38%,89.62%,0.00%
Sales-Search-1,Enabled,Search,2026-01-20,16,115,13.91%,USD,6.87,109.99,13.33%,81.11%,1.00,0,109.99,6.25%,26.32%,73.68%,0.00%
Sales-Search-1,Enabled,Search,2025-11-13,15,138,10.87%,USD,5.25,78.75,13.46%,70.19%,1.00,0,78.75,6.67%,10.74%,89.26%,0.00%
Sales-Search-1,Enabled,Search,2025-11-17,15,170,8.82%,USD,5.01,75.14,16.18%,72.06%,3.00,0,25.05,20.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-01-15,15,189,7.94%,USD,5.65,84.81,22.06%,69.85%,1.00,0,84.81,6.67%,39.94%,60.06%,0.00%
Sales-Search-1,Enabled,Search,2026-03-30,15,184,8.15%,USD,6.57,98.52,20.00%,83.85%,1.00,0,98.52,6.67%,10.05%,89.95%,0.00%
Sales-Search-1,Enabled,Search,2026-04-22,15,211,7.11%,USD,9.24,138.64,17.69%,81.63%,1.00,0,138.64,6.67%,10.66%,89.34%,0.00%
Sales-Search-1,Enabled,Search,2025-11-20,14,236,5.93%,USD,5.89,82.40,20.00%,74.44%,1.00,0,82.40,7.14%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-12-01,14,238,5.88%,USD,5.02,70.32,15.00%,80.56%,0.00,0,0,0.00%,10.52%,89.48%,0.00%
Sales-Search-1,Enabled,Search,2025-12-07,14,111,12.61%,USD,7.34,102.70,10.87%,78.26%,0.50,0,206.63,3.55%,13.14%,86.86%,0.00%
Sales-Search-1,Enabled,Search,2025-12-18,14,294,4.76%,USD,7.49,104.79,27.46%,81.35%,0.73,0,143.61,5.21%,11.15%,88.85%,0.00%
Sales-Search-1,Enabled,Search,2025-12-24,14,168,8.33%,USD,6.75,94.43,18.60%,78.29%,0.00,0,0,0.00%,12.95%,87.05%,0.00%
Sales-Search-1,Enabled,Search,2026-04-14,14,239,5.86%,USD,9.53,133.47,21.97%,84.97%,2.00,0,66.73,14.29%,11.11%,88.89%,0.00%
Sales-Search-1,Enabled,Search,2025-11-15,13,136,9.56%,USD,5.99,77.90,21.00%,76.00%,0.00,0,0,0.00%,14.75%,85.25%,0.00%
Sales-Search-1,Enabled,Search,2025-11-21,13,205,6.34%,USD,5.33,69.25,20.38%,74.52%,2.00,0,34.62,15.38%,10.48%,89.52%,0.00%
Sales-Search-1,Enabled,Search,2025-11-26,13,333,3.90%,USD,6.90,89.66,33.05%,74.68%,0.00,0,0,0.00%,13.11%,86.89%,0.00%
Sales-Search-1,Enabled,Search,2025-12-05,13,135,9.63%,USD,7.00,90.98,7.27%,74.55%,3.01,0,30.27,23.12%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-12-15,13,200,6.50%,USD,6.25,81.31,11.92%,80.79%,2.00,0,40.66,15.38%,10.87%,89.13%,0.00%
Sales-Search-1,Enabled,Search,2025-12-22,13,210,6.19%,USD,10.23,133.05,16.07%,69.64%,2.50,0,53.22,19.23%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-01-02,13,307,4.23%,USD,4.68,60.82,19.03%,72.57%,1.00,0,60.82,7.69%,14.65%,85.35%,0.00%
Sales-Search-1,Enabled,Search,2026-01-21,13,97,13.40%,USD,6.76,87.93,13.16%,73.68%,3.50,0,25.12,26.92%,21.53%,78.47%,0.00%
Sales-Search-1,Enabled,Search,2026-01-27,13,149,8.72%,USD,6.88,89.48,9.48%,80.17%,1.00,0,89.48,7.69%,21.97%,78.03%,0.00%
Sales-Search-1,Enabled,Search,2026-02-03,13,136,9.56%,USD,13.77,178.98,11.22%,87.76%,1.00,0,178.98,7.69%,19.15%,80.85%,0.00%
