Search keyword
"October 22, 2025 - April 23, 2026"
Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Day,Clicks,Impr.,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2026-01-05,18,298,6.04%,8.62,155.19,12.72%,66.67%,1.00,0,155.19,5.56%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-11-25,17,327,5.20%,8.23,139.93,23.66%,75.00%,1.00,0,139.93,5.88%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-12-23,16,193,8.29%,11.12,177.94,21.85%,70.86%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-11-06,15,191,7.85%,7.48,112.21,20.90%,82.09%,0.67,0,167.31,4.47%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-12-10,15,148,10.14%,6.56,98.44,23.30%,79.61%,1.00,0,98.44,6.67%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-12-29,15,220,6.82%,8.80,132.00,20.38%,78.98%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2026-04-15,15,229,6.55%,9.55,143.24,23.27%,88.68%,1.00,0,143.24,6.67%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-12-17,14,235,5.96%,9.66,135.18,26.42%,83.65%,2.27,0,59.54,16.22%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-12-31,14,201,6.97%,10.64,149.00,20.28%,65.03%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2026-01-07,14,209,6.70%,7.24,101.36,16.99%,66.01%,2.00,0,50.68,14.29%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2026-04-13,14,176,7.95%,14.12,197.70,14.29%,76.69%,1.00,0,197.70,7.14%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-11-20,13,167,7.78%,5.41,70.39,20.63%,76.19%,1.00,0,70.39,7.69%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-12-30,13,275,4.73%,9.53,123.89,25.40%,73.02%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2026-04-21,13,227,5.73%,6.56,85.22,17.28%,88.27%,1.00,0,85.22,7.69%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-11-15,12,117,10.26%,5.44,65.31,21.43%,77.38%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-11-17,12,135,8.89%,4.95,59.43,16.04%,70.75%,2.00,0,29.72,16.67%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-11-21,12,149,8.05%,4.76,57.15,23.68%,75.44%,1.00,0,57.15,8.33%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-11-22,12,71,16.90%,6.00,71.97,9.26%,81.48%,1.00,0,71.97,8.33%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-12-01,12,177,6.78%,4.91,58.89,17.83%,84.50%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-12-22,12,156,7.69%,10.76,129.08,16.26%,71.54%,2.50,0,51.63,20.83%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2026-01-03,12,104,11.54%,4.65,55.78,15.79%,76.32%,2.00,0,27.89,16.67%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2026-04-06,12,137,8.76%,4.74,56.88,10.48%,80.95%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2026-04-08,12,110,10.91%,8.89,106.69,13.04%,80.43%,1.00,0,106.69,8.33%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2026-04-20,12,286,4.20%,12.95,155.36,18.27%,84.62%,1.00,0,155.36,8.33%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-11-13,11,105,10.48%,3.08,33.83,14.29%,77.92%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-11-19,11,125,8.80%,4.70,51.70,12.12%,78.79%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-11-24,11,249,4.42%,8.28,91.10,26.59%,77.46%,0.33,0,273.31,3.03%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-12-07,11,86,12.79%,7.71,84.81,14.08%,77.46%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2026-01-06,11,377,2.92%,8.53,93.83,19.19%,66.79%,1.00,0,93.83,9.09%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2026-03-30,11,146,7.53%,5.15,56.69,18.69%,81.31%,1.00,0,56.69,9.09%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2026-03-31,11,127,8.66%,10.38,114.23,21.51%,76.34%,0.50,0,228.45,4.55%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2026-04-14,11,218,5.05%,10.10,111.09,22.15%,84.18%,2.00,0,55.54,18.18%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2026-04-17,11,216,5.09%,9.99,109.94,30.99%,85.92%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-11-07,10,137,7.30%,4.16,41.56,13.00%,75.00%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-11-14,10,127,7.87%,4.79,47.94,9.38%,87.50%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-11-23,10,103,9.71%,6.78,67.78,14.47%,88.16%,1.33,0,50.84,13.33%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-12-03,10,90,11.11%,5.83,58.27,6.85%,80.82%,1.00,0,58.27,10.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-12-05,10,101,9.90%,6.51,65.13,10.13%,82.28%,3.01,0,21.67,30.06%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2026-04-02,10,115,8.70%,8.93,89.34,18.60%,87.21%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2026-04-07,10,182,5.49%,3.61,36.09,20.16%,82.95%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2026-04-09,10,160,6.25%,5.73,57.29,16.67%,84.17%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-11-12,9,103,8.74%,5.95,53.54,7.59%,75.95%,1.00,0,53.54,11.11%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-12-02,9,111,8.11%,8.18,73.60,10.47%,83.72%,2.00,0,36.80,22.22%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-12-16,9,157,5.73%,6.67,60.05,6.31%,73.87%,1.00,0,60.05,11.11%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-12-18,9,195,4.62%,8.07,72.59,25.40%,80.16%,0.73,0,99.48,8.11%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-12-24,9,114,7.89%,7.92,71.32,25.58%,82.56%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2026-03-17,9,107,8.41%,8.59,77.27,8.24%,81.18%,2.00,0,38.64,22.22%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2026-03-26,9,80,11.25%,7.24,65.19,6.78%,77.97%,2.00,0,32.60,22.22%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2026-04-16,9,202,4.46%,11.68,105.16,22.86%,81.43%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2026-04-23,9,110,8.18%,7.52,67.69,16.25%,78.75%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-11-18,8,98,8.16%,3.20,25.62,14.47%,80.26%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-11-29,8,65,12.31%,10.37,82.92,25.49%,78.43%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-12-09,8,129,6.20%,6.51,52.11,11.22%,81.63%,0.00,0,0,0.00%
pllc,Eligible,,Broad match,Sales-Search-1,NY PLLC Formation,USD,0.01,2025-12-15,8,139,5.76%,7.37,58.97,12.75%,83.33%,2.00,0,29.49,25.00%
