Search terms
"October 22, 2025 - April 23, 2026"
Search term,Search terms match type,Added/Excluded,Day,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
pllc new york,Exact match,Added,2026-04-22,5,10,50.00%,USD,8.70,43.51,0.00%,85.71%,1.00,0,43.51,20.00%
pllc formation new york,Phrase match,None,2025-12-05,3,8,37.50%,USD,8.62,25.85,20.00%,100.00%,0.00,0,0,0.00%
pllc formation new york,Phrase match,None,2026-01-07,3,9,33.33%,USD,8.19,24.57,60.00%,100.00%,0.00,0,0,0.00%
pllc new york,Exact match,Added,2026-01-15,3,12,25.00%,USD,5.83,17.50,25.00%,87.50%,0.00,0,0,0.00%
pllc formation new york,Exact match (close variant),None,2026-01-16,3,7,42.86%,USD,7.75,23.25,16.67%,83.33%,1.00,0,23.25,33.33%
new york pllc formation,Exact match,Added,2026-02-10,3,2,150.00%,USD,12.51,37.54,0.00%,100.00%,1.00,0,37.54,33.33%
pllc formation new york,Exact match (close variant),None,2026-03-06,3,12,25.00%,USD,3.28,9.84,0.00%,90.00%,0.00,0,0,0.00%
ny pllc formation,Exact match,Added,2026-03-30,3,10,30.00%,USD,10.86,32.57,60.00%,100.00%,0.00,0,0,0.00%
pllc new york,Exact match,Added,2026-04-20,3,6,50.00%,USD,19.41,58.23,25.00%,100.00%,0.50,0,116.46,16.67%
pllc formation new york,Phrase match,None,2025-11-06,2,6,33.33%,USD,7.52,15.04,0.00%,100.00%,0.00,0,0,0.00%
pllc application ny,Exact match,Added,2025-11-11,2,2,100.00%,USD,2.96,5.92,0.00%,100.00%,0.00,0,0,0.00%
how to start a pllc in new york,Phrase match,None,2025-11-13,2,3,66.67%,USD,3.58,7.17,0.00%,100.00%,0.00,0,0,0.00%
how to create a pllc in ny,Exact match,Added,2025-11-26,2,6,33.33%,USD,5.37,10.74,100.00%,100.00%,0.00,0,0,0.00%
ny pllc formation,Exact match,Added,2025-12-07,2,2,100.00%,USD,6.24,12.48,0.00%,100.00%,0.00,0,0,0.00%
