Date Submitted,Site Name,URL,Link URL,Anchor Text,Domain Authority (DA),Page Authority (PA),Follow/Nofollow,Status,Notes,Contact Email,Follow-up Date,
11/12/2025,Google Business Profile,business.google.com,nypllc.com,New York PLLC Formation Service,95+,95+,Follow,Pending Verification,Submitted - awaiting verification,,,
11/12/2025,Bing Places for Business,bingplaces.com,nypllc.com,New York PLLC Formation Service,,,Follow,Submitted,High priority - Bing local search - submitted,,,
11/12/2025,Yelp for Business,biz.yelp.com,nypllc.com,New York PLLC Formation Service,90+,90+,Follow,Submitted,High priority - encourage customer reviews - submitted,,,
11/12/2025,Better Business Bureau (BBB),bbb.org,nypllc.com,New York PLLC Formation Service,85+,85+,Follow,Submitted,May require verification - high trust signals - submitted,,,
,Yellow Pages,yellowpages.com,nypllc.com,New York PLLC Formation Service,80+,80+,Follow,Not Started,Medium-high impact,,,
,NYC Business Directory,Search: NYC business directory,nypllc.com,New York PLLC Formation Service,,,Follow,Not Started,Local relevance - search for directory,,,
,New York State Business Directory,Search: New York state business directory,nypllc.com,New York PLLC Formation Service,,,Follow,Not Started,Local relevance - search for directory,,,
11/12/2025,LinkedIn Company Page,linkedin.com/company,nypllc.com,New York PLLC Formation Service,95+,95+,Follow,Submitted,High priority - social + SEO - submitted,,,
,Crunchbase,crunchbase.com,nypllc.com,New York PLLC Formation Service,85+,85+,Follow,Not Started,If applicable,,,
11/12/2025,Clutch.co,clutch.co,nypllc.com,New York PLLC Formation Service,85+,85+,Follow,Submitted,High priority - B2B services - may require verification - submitted,,,
,Angi (Angie's List),angi.com,nypllc.com,New York PLLC Formation Service,80+,80+,Follow,Not Started,General business directory,,,
,Thumbtack,thumbtack.com,nypllc.com,New York PLLC Formation Service,85+,85+,Follow,Not Started,General business directory,,,
,HomeAdvisor,homeadvisor.com,nypllc.com,New York PLLC Formation Service,80+,80+,Follow,Not Started,General business directory,,,
,Local.com,local.com,nypllc.com,New York PLLC Formation Service,70+,70+,Follow,Not Started,General business directory,,,
,Citysearch,citysearch.com,nypllc.com,New York PLLC Formation Service,75+,75+,Follow,Not Started,General business directory,,,
,Foursquare,foursquare.com,nypllc.com,New York PLLC Formation Service,85+,85+,Follow,Not Started,Local citation,,,
,MapQuest,mapquest.com,nypllc.com,New York PLLC Formation Service,80+,80+,Follow,Not Started,Local citation,,,
,Brownbook,brownbook.net,nypllc.com,New York PLLC Formation Service,60+,60+,Follow,Not Started,Local citation,,,
,Hotfrog,hotfrog.com,nypllc.com,New York PLLC Formation Service,65+,65+,Follow,Not Started,Local citation,,,
,Manta,manta.com,nypllc.com,New York PLLC Formation Service,70+,70+,Follow,Not Started,Local citation,,,
,Apple Maps,apple.com/business,nypllc.com,New York PLLC Formation Service,95+,95+,Follow,Not Started,High impact - Apple Maps users,,,
,Facebook Business Page,facebook.com/business,nypllc.com,New York PLLC Formation Service,95+,95+,Follow,Not Started,Social media profile - add website link,,,
,Instagram Business Profile,instagram.com,nypllc.com,New York PLLC Formation Service,95+,95+,Follow,Not Started,Social media profile - add website in bio,,,
,Twitter/X Business Profile,twitter.com,nypllc.com,New York PLLC Formation Service,95+,95+,Follow,Not Started,Social media profile - add website in bio,,,
,LinkedIn Personal Profile,linkedin.com,nypllc.com,New York PLLC Formation Service,95+,95+,Follow,Not Started,Social media profile - add website in Experience section,,,
,Pinterest Business,pinterest.com,nypllc.com,New York PLLC Formation Service,90+,90+,Follow,Not Started,Social media profile - create boards,,,
,YouTube Channel,youtube.com,nypllc.com,New York PLLC Formation Service,95+,95+,Follow,Not Started,Social media profile - create channel with website link,,,
,Reddit Profile,reddit.com,nypllc.com,New York PLLC Formation Service,95+,95+,Follow,Not Started,Social media profile - add website in bio if allowed,,,
