asset_id,field_type,status,asset_type,label,impressions,clicks,ctr_pct,cost,conversions
302545863232,CALLOUT,REMOVED,CALLOUT,Real human support,7029,464,6.6,5282.4,49.23
302545863226,CALLOUT,REMOVED,CALLOUT,Trusted since 2005,5961,388,6.51,4513.98,42.0
302545863229,CALLOUT,REMOVED,CALLOUT,"Real people, real support",5853,389,6.65,4570.99,42.73
370198410518,CALLOUT,ENABLED,CALLOUT,NYSED Included,1980,142,7.17,1335.32,15.17
332132453638,BUSINESS_LOGO,ENABLED,IMAGE,332132453638,1806,195,10.8,1860.96,17.89
302842568539,STRUCTURED_SNIPPET,REMOVED,STRUCTURED_SNIPPET,Amenities,1757,93,5.29,1126.66,11.75
370198410530,CALLOUT,ENABLED,CALLOUT,EIN Included,1661,110,6.62,1112.74,10.67
301893146621,SITELINK,REMOVED,SITELINK,About Us,1503,117,7.78,1150.83,11.33
301893146618,SITELINK,ENABLED,SITELINK,Get Started,1187,91,7.67,1069.14,13.83
370198410521,CALLOUT,ENABLED,CALLOUT,Publishing Included,1115,61,5.47,579.53,9.0
370198410533,CALLOUT,ENABLED,CALLOUT,Operating Agreement,972,49,5.04,456.38,5.0
370198410524,CALLOUT,ENABLED,CALLOUT,Flat $885 Price,918,60,6.54,564.23,5.17
370198410527,CALLOUT,ENABLED,CALLOUT,No Hidden Fees,734,52,7.08,509.86,5.0
370198410512,SITELINK,ENABLED,SITELINK,FAQ,528,41,7.77,434.29,4.5
301975453171,CALL,ENABLED,CALL,301975453171,521,27,5.18,253.8,4.5
370198410509,SITELINK,ENABLED,SITELINK,Start Your Order,455,50,10.99,559.03,7.5
370372848903,PRICE,REMOVED,PRICE,NYPLLC Price - All Inclusive $885 v3,422,12,2.84,178.54,2.5
370198410515,SITELINK,ENABLED,SITELINK,Contact Us,323,44,13.62,461.66,5.5
