segments.date,segments.hour,campaign.name,campaign.status,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions,metrics.absolute_top_impression_percentage,metrics.top_impression_percentage
2026-04-10,0,Sales-Search-1,ENABLED,6,1,0.16666666666666666,10130000.0,10130000,0.0,0.25,1.0
2026-04-10,2,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-10,3,Sales-Search-1,ENABLED,2,0,0.0,0.0,0,0.0,0.0,0.5
2026-04-10,4,Sales-Search-1,ENABLED,4,0,0.0,0.0,0,0.0,0.5,1.0
2026-04-10,5,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,0.0
2026-04-10,6,Sales-Search-1,ENABLED,4,0,0.0,0.0,0,0.0,1.0,1.0
2026-04-10,7,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,0.0
2026-04-10,8,Sales-Search-1,ENABLED,5,0,0.0,0.0,0,0.0,0.6666666666666666,1.0
2026-04-10,9,Sales-Search-1,ENABLED,15,1,0.06666666666666667,3270000.0,3270000,0.0,0.1111111111111111,0.7777777777777778
2026-04-10,10,Sales-Search-1,ENABLED,13,0,0.0,0.0,0,0.0,0.0,0.7272727272727273
2026-04-10,11,Sales-Search-1,ENABLED,7,1,0.14285714285714285,11490000.0,11490000,0.0,0.0,1.0
2026-04-10,12,Sales-Search-1,ENABLED,20,0,0.0,0.0,0,0.0,0.17647058823529413,0.7058823529411765
2026-04-10,13,Sales-Search-1,ENABLED,12,1,0.08333333333333333,2020000.0,2020000,0.0,0.125,0.875
2026-04-10,14,Sales-Search-1,ENABLED,16,1,0.0625,10000.0,10000,0.0,0.15384615384615385,0.9230769230769231
2026-04-10,15,Sales-Search-1,ENABLED,9,1,0.1111111111111111,17762634.0,17762634,1.0,0.5,1.0
2026-04-10,16,Sales-Search-1,ENABLED,10,0,0.0,0.0,0,0.0,0.5,0.75
2026-04-10,17,Sales-Search-1,ENABLED,5,0,0.0,0.0,0,0.0,0.25,0.75
2026-04-10,18,Sales-Search-1,ENABLED,8,2,0.25,20275000.0,40550000,1.0,0.16666666666666666,0.6666666666666666
2026-04-10,19,Sales-Search-1,ENABLED,6,0,0.0,0.0,0,0.0,0.2,1.0
2026-04-10,20,Sales-Search-1,ENABLED,4,0,0.0,0.0,0,0.0,0.3333333333333333,1.0
2026-04-10,21,Sales-Search-1,ENABLED,2,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-10,22,Sales-Search-1,ENABLED,7,1,0.14285714285714285,19000000.0,19000000,0.0,0.4,1.0
2026-04-10,23,Sales-Search-1,ENABLED,3,1,0.3333333333333333,1744618.0,1744618,0.0,0.5,1.0
2026-04-11,4,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,0.0
2026-04-11,7,Sales-Search-1,ENABLED,2,0,0.0,0.0,0,0.0,0.0,0.5
