segments.date,campaign.name,ad_group.name,search_term_view.search_term,search_term_view.status,segments.search_term_match_type,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions
2026-04-10,Sales-Search-1,NY PLLC Formation,new york pllc,ADDED,EXACT,1,0,0.0,0.0,0,0.0
2026-04-10,Sales-Search-1,NY PLLC Formation,new york pllc formation,ADDED,EXACT,4,1,0.25,11490000.0,11490000,0.0
2026-04-10,Sales-Search-1,NY PLLC Formation,ny pllc,ADDED,EXACT,2,0,0.0,0.0,0,0.0
2026-04-10,Sales-Search-1,NY PLLC Formation,ny pllc formation,ADDED,EXACT,5,1,0.2,1744618.0,1744618,0.0
2026-04-10,Sales-Search-1,NY PLLC Formation,nys pllc formation,ADDED,EXACT,3,0,0.0,0.0,0,0.0
2026-04-10,Sales-Search-1,NY PLLC Formation,pllc,ADDED,EXACT,21,1,0.047619047619047616,17762634.0,17762634,1.0
2026-04-10,Sales-Search-1,NY PLLC Formation,pllc formation,ADDED,EXACT,3,0,0.0,0.0,0,0.0
2026-04-10,Sales-Search-1,NY PLLC Formation,pllc in new york,ADDED,EXACT,5,0,0.0,0.0,0,0.0
2026-04-10,Sales-Search-1,NY PLLC Formation,pllc in ny,ADDED,EXACT,3,0,0.0,0.0,0,0.0
2026-04-10,Sales-Search-1,NY PLLC Formation,pllc new york,ADDED,EXACT,7,0,0.0,0.0,0,0.0
2026-04-10,Sales-Search-1,NY PLLC Formation,pllc nyc,ADDED,EXACT,1,0,0.0,0.0,0,0.0
2026-04-10,Sales-Search-1,NY PLLC Formation,pllc nys,ADDED,EXACT,5,0,0.0,0.0,0,0.0
2026-04-10,Sales-Search-1,NY PLLC Formation,law pllc,NONE,PHRASE,1,0,0.0,0.0,0,0.0
2026-04-10,Sales-Search-1,NY PLLC Formation,llc vs pllc new york,NONE,PHRASE,2,0,0.0,0.0,0,0.0
2026-04-10,Sales-Search-1,NY PLLC Formation,new york state pllc,NONE,PHRASE,1,0,0.0,0.0,0,0.0
2026-04-10,Sales-Search-1,NY PLLC Formation,pllc application,NONE,PHRASE,2,0,0.0,0.0,0,0.0
2026-04-10,Sales-Search-1,NY PLLC Formation,pllc formation new york,ADDED,PHRASE,2,0,0.0,0.0,0,0.0
2026-04-10,Sales-Search-1,NY PLLC Formation,pllc new york state,NONE,PHRASE,1,0,0.0,0.0,0,0.0
2026-04-10,Sales-Search-1,NY PLLC Formation,pllc registration,NONE,PHRASE,1,0,0.0,0.0,0,0.0
2026-04-10,Sales-Search-1,NY PLLC Formation,pllc requirements,NONE,PHRASE,1,0,0.0,0.0,0,0.0
2026-04-10,Sales-Search-1,NY PLLC Formation,llc publication,EXCLUDED,BROAD,1,0,0.0,0.0,0,0.0
