query,bucket,organic_position,organic_clicks,paid_clicks,paid_cost,paid_conv,campaigns
nypllc,OVERLAP_TOP3,1.0,22,67,503.59,11.0,01_Core_Exact_NY | Sales-Search-1
register pllc,OVERLAP_TOP3,1.0,0,2,21.02,0.0,Sales-Search-1
how to apply for a pllc,OVERLAP_TOP3,1.0,0,2,6.05,0.0,01_Core_Exact_NY | Sales-Search-1
llc vs pllc,OVERLAP_TOP3,3.0,0,1,3.3,0.0,Sales-Search-1
how to set up pllc,OVERLAP_TOP3,1.0,0,0,0.0,0.0,01_Core_Exact_NY | Sales-Search-1
lcsw pllc,OVERLAP_TOP3,1.0,0,0,0.0,0.0,Sales-Search-1
pllc application ny,OVERLAP_PAGE1,9.3,2,20,198.81,4.0,Sales-Search-1
nys pllc formation,OVERLAP_PAGE1,8.0,1,10,131.06,4.0,Sales-Search-1
pllc nyc,OVERLAP_PAGE1,5.3,0,16,88.09,1.0,Sales-Search-1
how long does it take to form a pllc in ny,OVERLAP_PAGE1,8.8,0,5,62.93,0.0,Sales-Search-1
pllc filing,OVERLAP_PAGE1,7.7,0,4,27.38,0.0,Sales-Search-1
form pllc,OVERLAP_PAGE1,10.0,0,3,20.88,0.0,Sales-Search-1
nysed pllc,OVERLAP_PAGE1,10.0,0,2,13.54,0.0,Sales-Search-1
open a pllc,OVERLAP_PAGE1,6.2,0,4,7.07,0.0,Sales-Search-1
how to open a pllc,OVERLAP_PAGE1,6.3,0,1,4.32,0.0,Sales-Search-1
legalzoom pllc,OVERLAP_PAGE1,8.5,0,1,3.13,0.0,Sales-Search-1
lcsw,OVERLAP_PAGE1,6.8,0,0,0.0,0.0,Sales-Search-1
certificate of publication,OVERLAP_PAGE1,5.0,0,0,0.0,0.0,Sales-Search-1
legal zoom pllc,OVERLAP_PAGE1,8.0,0,0,0.0,0.0,Sales-Search-1
pllc cost,OVERLAP_PAGE1,7.3,0,0,0.0,0.0,Sales-Search-1
pllc formation new york,OVERLAP_DEEP,26.5,1,101,1298.41,18.6,Sales-Search-1
ny pllc formation,OVERLAP_DEEP,28.9,6,96,1160.25,13.0,01_Core_Exact_NY | Sales-Search-1
pllc new york,OVERLAP_DEEP,35.9,1,71,693.68,9.2,01_Core_Exact_NY | Sales-Search-1
ny pllc,OVERLAP_DEEP,20.4,1,48,381.32,5.0,01_Core_Exact_NY | Sales-Search-1
pllc,OVERLAP_DEEP,39.7,0,48,314.55,4.5,Sales-Search-1
new york pllc formation,OVERLAP_DEEP,25.1,3,23,216.07,3.0,01_Core_Exact_NY | Sales-Search-1
pllc formation,OVERLAP_DEEP,25.2,0,20,197.32,1.5,Sales-Search-1
forming a pllc in ny,OVERLAP_DEEP,30.9,0,18,177.02,5.0,Sales-Search-1
pllc ny,OVERLAP_DEEP,44.8,1,22,162.28,1.0,01_Core_Exact_NY | Sales-Search-1
new york pllc,OVERLAP_DEEP,32.7,0,22,155.95,1.0,01_Core_Exact_NY | Sales-Search-1
pllc nys,OVERLAP_DEEP,40.8,0,17,129.8,1.0,Sales-Search-1
form pllc new york,OVERLAP_DEEP,37.6,2,10,124.66,1.0,01_Core_Exact_NY | Sales-Search-1
pllc new york state,OVERLAP_DEEP,19.3,0,18,114.24,0.0,01_Core_Exact_NY | Sales-Search-1
pllc in new york,OVERLAP_DEEP,43.9,0,8,87.74,0.0,Sales-Search-1
start a pllc,OVERLAP_DEEP,17.9,0,7,68.5,1.0,Sales-Search-1
nys pllc,OVERLAP_DEEP,40.9,0,8,64.24,0.0,Sales-Search-1
pllc in ny,OVERLAP_DEEP,28.8,1,8,59.88,0.0,Sales-Search-1
form a pllc,OVERLAP_DEEP,14.5,0,4,59.74,1.0,Sales-Search-1
new york state pllc,OVERLAP_DEEP,30.1,0,4,56.28,0.0,01_Core_Exact_NY | Sales-Search-1
create pllc,OVERLAP_DEEP,12.3,0,5,54.02,0.0,Sales-Search-1
how to form a pllc in new york,OVERLAP_DEEP,36.3,1,9,50.79,0.0,Sales-Search-1
forming a pllc,OVERLAP_DEEP,36.5,0,5,48.4,1.0,Sales-Search-1
pllc new york cost,OVERLAP_DEEP,17.4,0,6,38.76,2.5,Sales-Search-1
pllc application,OVERLAP_DEEP,36.7,0,3,31.72,0.0,Sales-Search-1
ny pllc checklist,OVERLAP_DEEP,47.6,1,8,30.4,0.0,Sales-Search-1
pllc formation services,OVERLAP_DEEP,26.2,0,3,28.62,1.5,Sales-Search-1
pllc formation in new york,OVERLAP_DEEP,33.7,0,1,27.1,0.0,Sales-Search-1
create a pllc,OVERLAP_DEEP,19.9,1,2,26.38,0.0,Sales-Search-1
how to form a pllc,OVERLAP_DEEP,35.6,0,2,19.4,0.0,01_Core_Exact_NY | Sales-Search-1
professional llc,OVERLAP_DEEP,48.2,0,2,19.12,0.0,Sales-Search-1
forming a pllc in new york,OVERLAP_DEEP,40.1,0,3,18.96,0.0,Sales-Search-1
pllc legal zoom,OVERLAP_DEEP,10.8,1,2,18.88,0.0,Sales-Search-1
