query,organic_position,organic_impressions,organic_clicks,organic_ctr,paid_clicks,paid_cost,paid_conv,est_annual_paid_cost,suggested_target_url,priority_score
pllc formation new york,26.5,813,1,0.12,101,1298.41,18.6,1686.55,/,100.0
ny pllc formation,28.9,396,6,1.52,96,1160.25,13.0,1507.09,/,94.6
new york pllc formation,25.1,487,3,0.62,23,216.07,3.0,280.66,/,88.1
pllc formation,25.2,282,0,0.0,20,197.32,1.5,256.31,/,84.0
pllc new york,35.9,302,1,0.33,71,693.68,9.2,901.04,/,81.4
pllc new york cost,17.4,343,0,0.0,6,38.76,2.5,50.35,/ny-pllc-cost,77.8
ny pllc,20.4,67,1,1.49,48,381.32,5.0,495.31,/,77.6
new york pllc,32.7,457,0,0.0,22,155.95,1.0,202.57,/,77.2
start a pllc,17.9,134,0,0.0,7,68.5,1.0,88.98,/how-to-form-a-pllc-in-ny,74.1
pllc ny,44.8,212,1,0.47,22,162.28,1.0,210.79,/,72.2
form pllc new york,37.6,236,2,0.85,10,124.66,1.0,161.92,/,71.7
forming a pllc in ny,30.9,142,0,0.0,18,177.02,5.0,229.94,/how-to-form-a-pllc-in-ny,70.0
pllc in new york,43.9,193,0,0.0,8,87.74,0.0,113.97,/,68.7
pllc new york state,19.3,36,0,0.0,18,114.24,0.0,148.39,/,67.8
create a pllc,19.9,94,1,1.06,2,26.38,0.0,34.27,/how-to-form-a-pllc-in-ny,67.4
nys pllc,40.9,182,0,0.0,8,64.24,0.0,83.44,/,66.9
pllc,39.7,59,0,0.0,48,314.55,4.5,408.58,/,66.8
how long does it take to form a pllc in ny,8.8,107,0,0.0,5,62.93,0.0,81.74,/how-long-to-form-a-pllc-in-ny,66.2
pllc application,36.7,265,0,0.0,3,31.72,0.0,41.2,/,66.1
how to form a pllc in new york,36.3,159,1,0.63,9,50.79,0.0,65.97,/how-to-form-a-pllc-in-ny,64.9
ny pllc checklist,47.6,153,1,0.65,8,30.4,0.0,39.49,GAP — no page,62.3
how to form a pllc,35.6,204,0,0.0,2,19.4,0.0,25.2,/how-to-form-a-pllc-in-ny,62.1
pllc formation in new york,33.7,155,0,0.0,1,27.1,0.0,35.2,/,61.8
how to form a pllc in ny,29.8,152,0,0.0,1,3.22,0.0,4.18,/how-to-form-a-pllc-in-ny,61.5
pllc in ny,28.8,21,1,4.76,8,59.88,0.0,77.78,/,61.3
pllc formation services,26.2,25,0,0.0,3,28.62,1.5,37.18,/,59.0
how to get a pllc,24.8,313,1,0.32,0,0.0,0.0,0.0,/,58.6
pllc lawyer,16.4,35,0,0.0,3,11.53,0.0,14.98,/professions/law,57.1
apply for pllc,27.8,223,0,0.0,0,0.0,0.0,0.0,/,56.3
professional llc,48.2,83,0,0.0,2,19.12,0.0,24.84,OUT OF SCOPE — LLC (sister company),56.1
pllc nys,40.8,20,0,0.0,17,129.8,1.0,168.6,/,55.6
nys pllc formation,8.0,10,1,10.0,10,131.06,4.0,170.24,/,54.3
llc for massage therapy,8.1,357,0,0.0,0,0.0,0.0,0.0,/professions/massage-therapist,53.5
new york state pllc,30.1,26,0,0.0,4,56.28,0.0,73.1,/,53.4
pllc registration,22.1,140,0,0.0,0,0.0,0.0,0.0,/,53.2
pllc application ny,9.3,6,2,33.33,20,198.81,4.0,258.24,/,53.2
